Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Modus;Dauer bis Druckstabilitaet_s;raw;resp;response
75,058;896,82000;10,00;10,00;Einlass;;b'0, 8,9682E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9682E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9682E+02,2, 1,3652E+00,5, 1,0000E+03
76,058;896,81000;10,00;10,00;Einlass;;b'0, 8,9681E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9681E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9681E+02,2, 1,3652E+00,5, 1,0000E+03
77,059;896,81000;10,00;10,00;Einlass;;b'0, 8,9681E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9681E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9681E+02,2, 1,3652E+00,5, 1,0000E+03
78,059;896,82000;10,00;10,00;Einlass;;b'0, 8,9682E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9682E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9682E+02,2, 1,3652E+00,5, 1,0000E+03
79,060;896,82000;10,00;10,00;Einlass;;b'0, 8,9682E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9682E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9682E+02,2, 1,3652E+00,5, 1,0000E+03
80,060;896,82000;10,00;10,00;Einlass;;b'0, 8,9682E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9682E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9682E+02,2, 1,3652E+00,5, 1,0000E+03
81,062;896,82000;10,00;10,00;Einlass;;b'0, 8,9682E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9682E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9682E+02,2, 1,3652E+00,5, 1,0000E+03
82,063;896,82000;10,00;10,00;Einlass;;b'0, 8,9682E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9682E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9682E+02,2, 1,3652E+00,5, 1,0000E+03
83,065;896,81000;10,00;10,00;Einlass;;b'0, 8,9681E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9681E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9681E+02,2, 1,3652E+00,5, 1,0000E+03
84,065;896,85000;10,00;10,00;Einlass;;b'0, 8,9685E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9685E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9685E+02,2, 1,3652E+00,5, 1,0000E+03
85,066;896,88000;10,00;10,00;Einlass;;b'0, 8,9688E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9688E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9688E+02,2, 1,3652E+00,5, 1,0000E+03
86,066;896,90000;10,00;10,00;Einlass;;b'0, 8,9690E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9690E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9690E+02,2, 1,3652E+00,5, 1,0000E+03
87,067;896,90000;10,00;10,00;Einlass;;b'0, 8,9690E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9690E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9690E+02,2, 1,3652E+00,5, 1,0000E+03
88,068;896,91000;10,00;10,00;Einlass;;b'0, 8,9691E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9691E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9691E+02,2, 1,3652E+00,5, 1,0000E+03
89,069;896,92000;10,00;10,00;Einlass;;b'0, 8,9692E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9692E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9692E+02,2, 1,3652E+00,5, 1,0000E+03
90,070;896,91000;10,00;10,00;Einlass;;b'0, 8,9691E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9691E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9691E+02,2, 1,3652E+00,5, 1,0000E+03
91,071;896,89000;10,00;10,00;Einlass;;b'0, 8,9689E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9689E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9689E+02,2, 1,3652E+00,5, 1,0000E+03
