Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Modus;Dauer bis Druckstabilität_s
361,019;895,38000;10,00;8,50;Einlass;
362,006;895,40000;10,00;8,50;Einlass;
362,994;895,40000;10,00;8,50;Einlass;
363,983;895,44000;10,00;8,50;Einlass;
364,971;895,42000;10,00;8,50;Einlass;
365,958;895,39000;10,00;8,50;Einlass;
366,947;895,39000;10,00;8,50;Einlass;
367,934;895,41000;10,00;8,50;Einlass;
368,923;895,43000;10,00;8,50;Einlass;
369,911;895,48000;10,00;8,50;Einlass;
370,898;895,52000;10,00;8,50;Einlass;
371,887;895,52000;10,00;8,50;Einlass;
372,874;895,52000;10,00;8,50;Einlass;
373,863;895,53000;10,00;8,50;Einlass;
374,850;895,52000;10,00;8,50;Einlass;
375,838;895,50000;10,00;8,50;Einlass;
376,826;895,49000;10,00;8,50;Einlass;
377,814;895,48000;10,00;8,50;Einlass;
378,801;895,48000;10,00;8,50;Einlass;
379,790;895,49000;10,00;8,50;Einlass;
380,778;895,45000;10,00;8,50;Einlass;
381,766;895,44000;10,00;8,50;Einlass;
382,754;895,41000;10,00;8,50;Einlass;
383,742;895,40000;10,00;8,50;Einlass;
384,729;895,36000;10,00;8,50;Einlass;
385,717;895,31000;10,00;8,50;Einlass;
386,705;895,35000;10,00;8,50;Einlass;
387,693;895,35000;10,00;8,50;Einlass;
388,681;895,32000;10,00;8,50;Einlass;
389,670;895,32000;10,00;8,50;Einlass;
390,657;895,31000;10,00;8,50;Einlass;
391,645;895,31000;10,00;8,50;Einlass;
392,633;895,29000;10,00;8,50;Einlass;
393,621;895,27000;10,00;8,50;Einlass;
394,609;895,26000;10,00;8,50;Einlass;97,807
395,597;893,56000;10,00;8,00;Einlass;
396,585;885,91000;10,00;8,00;Einlass;
397,573;884,20000;10,00;8,00;Einlass;
398,561;883,99000;10,00;8,00;Einlass;
399,549;883,93000;10,00;8,00;Einlass;
400,537;883,90000;10,00;8,00;Einlass;
401,525;883,90000;10,00;8,00;Einlass;
402,513;883,87000;10,00;8,00;Einlass;
403,500;883,86000;10,00;8,00;Einlass;
404,488;883,90000;10,00;8,00;Einlass;
405,476;883,90000;10,00;8,00;Einlass;
406,465;883,90000;10,00;8,00;Einlass;
407,453;883,90000;10,00;8,00;Einlass;
408,441;883,90000;10,00;8,00;Einlass;
409,429;883,93000;10,00;8,00;Einlass;
410,416;883,91000;10,00;8,00;Einlass;
411,404;883,89000;10,00;8,00;Einlass;
412,393;883,85000;10,00;8,00;Einlass;
413,380;883,82000;10,00;8,00;Einlass;
414,368;883,82000;10,00;8,00;Einlass;
415,356;883,85000;10,00;8,00;Einlass;
416,344;883,86000;10,00;8,00;Einlass;
417,332;883,86000;10,00;8,00;Einlass;
418,320;883,84000;10,00;8,00;Einlass;
419,307;883,85000;10,00;8,00;Einlass;
420,295;883,90000;10,00;8,00;Einlass;
421,283;883,91000;10,00;8,00;Einlass;
422,272;883,91000;10,00;8,00;Einlass;
423,259;883,91000;10,00;8,00;Einlass;
424,248;883,89000;10,00;8,00;Einlass;
425,236;883,85000;10,00;8,00;Einlass;
426,223;883,82000;10,00;8,00;Einlass;
427,211;883,81000;10,00;8,00;Einlass;
428,200;883,81000;10,00;8,00;Einlass;
429,188;883,85000;10,00;8,00;Einlass;
430,176;883,82000;10,00;8,00;Einlass;
431,164;883,84000;10,00;8,00;Einlass;
432,151;883,86000;10,00;8,00;Einlass;
433,139;883,86000;10,00;8,00;Einlass;
434,127;883,89000;10,00;8,00;Einlass;
435,115;883,89000;10,00;8,00;Einlass;
436,103;883,86000;10,00;8,00;Einlass;
437,091;883,88000;10,00;8,00;Einlass;
438,079;883,86000;10,00;8,00;Einlass;
439,067;883,86000;10,00;8,00;Einlass;
440,055;883,86000;10,00;8,00;Einlass;
441,042;883,86000;10,00;8,00;Einlass;
442,031;883,87000;10,00;8,00;Einlass;
443,019;883,86000;10,00;8,00;Einlass;
444,007;883,89000;10,00;8,00;Einlass;
444,994;883,86000;10,00;8,00;Einlass;
445,983;883,33000;10,00;8,00;Einlass;
446,971;882,90000;10,00;8,00;Einlass;
447,959;882,71000;10,00;8,00;Einlass;
448,947;882,65000;10,00;8,00;Einlass;
449,935;882,59000;10,00;8,00;Einlass;
450,922;882,59000;10,00;8,00;Einlass;
451,910;882,58000;10,00;8,00;Einlass;
452,898;882,52000;10,00;8,00;Einlass;
453,886;882,54000;10,00;8,00;Einlass;
454,874;882,57000;10,00;8,00;Einlass;
455,862;882,60000;10,00;8,00;Einlass;
456,850;882,66000;10,00;8,00;Einlass;
